,Price
1618,2.74
1619,3.5
1620,4.76
1621,6.2
1622,2.35
1623,24.5
1624,6.0
1625,3.65
1626,6.26
1627,32.95
1628,7.8
1629,4.25
1630,4.86
1631,4.9
1632,7.06
1633,4.5
1634,3.22
1635,3.25
1636,4.53
1637,34.78
1638,6.5
1639,2.25
1640,8.0
1641,8.37
1642,5.39
1643,37.3
1644,70.8
1645,22.25
1646,6.03
1647,4.9
1648,3.96
1649,4.6
1650,5.5
1651,3.25
1652,6.25
1653,3.0
1654,4.25
1655,12.25
1656,10.95
1657,16.5
1658,7.8
1659,3.7
1660,4.0
1661,26.75
1662,28.03
1663,5.44
1664,6.2
1665,0.9
1666,3.95
1667,0.44
1668,2.75
1669,7.5
1670,2.5
1671,5.0
1672,3.6
1673,3.99
1674,5.64
1675,12.0
1676,0.7
1677,19.0
1678,30.48
1679,8.2
1680,7.55
1681,0.99
1682,4.15
1683,6.2
1684,4.4
1685,2.1
1686,2.2
1687,8.34
1688,4.35
1689,6.8
1690,3.3
1691,5.04
1692,9.2
1693,5.7
1694,8.48
1695,48.0
1696,6.1
1697,2.75
1698,8.0
1699,1.85
1700,3.85
1701,4.74
1702,5.63
1703,2.62
1704,4.9
1705,2.65
1706,5.99
1707,2.4
1708,4.25
1709,40.0
1710,2.7
1711,2.99
1712,3.4
1713,30.8
1714,5.85
1715,4.0
1716,14.12
1717,4.55
1718,38.0
1719,2.9
1720,6.0
1721,6.95
1722,2.75
1723,5.1
1724,6.75
1725,3.69
1726,5.45
1727,9.29
1728,4.0
1729,2.9
1730,5.25
1731,5.75
1732,13.12
1733,7.83
1734,3.15
1735,10.4
1736,4.35
1737,5.23
1738,6.01
1739,4.4
1740,12.75
1741,2.4
1742,5.71
1743,5.49
1744,1.3
1745,8.5
1746,12.99
1747,5.0
1748,9.0
1749,5.22
1750,3.8
1751,7.27
1752,5.1
1753,29.0
1754,2.9
1755,1.38
1756,5.5
1757,7.25
1758,6.98
1759,5.25
1760,1.95
1761,24.5
1762,8.31
1763,36.0
1764,5.5
1765,5.89
1766,7.95
1767,2.75
1768,6.25
1769,4.95
1770,6.27
1771,8.65
1772,3.5
1773,35.0
1774,4.45
1775,2.65
1776,4.7
1777,8.9
1778,17.45
1779,9.58
1780,6.22
1781,7.8
1782,27.75
1783,7.0
1784,64.87
1785,6.5
1786,2.7
1787,2.5
1788,3.9
1789,3.95
1790,2.1
1791,3.5
1792,2.0
1793,5.35
1794,3.8
1795,17.25
1796,5.53
1797,1.95
1798,8.2
1799,0.9
1800,6.5
1801,19.41
1802,6.58
1803,2.1
1804,2.0
1805,3.7
1806,3.8
1807,3.25
1808,5.53
1809,10.9
1810,5.1
1811,1.6
1812,11.25
1813,5.9
1814,14.4
1815,3.6
1816,40.5
1817,38.95
1818,3.6
1819,7.12
1820,7.52
1821,10.35
1822,7.0
1823,10.85
1824,2.35
1825,2.9
1826,7.65
1827,6.4
1828,10.1
1829,4.25
1830,19.65
1831,4.4
1832,3.25
1833,2.8
1834,4.3
1835,1.55
1836,4.7
1837,7.07
1838,79.0
1839,5.75
1840,3.25
1841,8.89
1842,5.9
1843,4.95
1844,3.75
1845,10.97
1846,24.94
1847,1.97
1848,1.4
1849,7.27
1850,4.0
1851,4.75
1852,5.1
1853,16.11
1854,10.55
1855,30.0
1856,1.6
1857,18.49
1858,9.96
1859,4.75
1860,3.65
1861,15.5
1862,11.82
1863,2.05
1864,3.3
1865,2.25
1866,20.12
1867,4.95
1868,7.48
1869,5.5
1870,13.19
1871,3.85
1872,5.75
1873,9.0
1874,2.21
1875,8.09
1876,48.63
1877,39.47
1878,22.24
1879,2.6
1880,12.0
1881,18.0
1882,9.99
1883,2.45
1884,8.99
1885,3.15
1886,8.2
1887,11.5
1888,7.3
1889,1.59
1890,3.15
1891,8.5
1892,3.0
1893,21.0
1894,7.75
1895,23.0
1896,13.75
1897,8.29
1898,5.79
1899,30.5
1900,3.8
1901,4.45
1902,3.3
1903,1.75
1904,5.5
1905,13.35
1906,22.5
1907,5.25
1908,3.75
1909,6.32
1910,7.75
1911,1.37
1912,2.1
1913,9.3
1914,12.0
1915,23.5
1916,1.8
1917,12.5
1918,4.74
1919,5.43
1920,31.62
1921,6.3
1922,8.45
1923,5.0
1924,13.0
1925,4.7
1926,93.67
1927,3.3
1928,1.51
1929,6.09
1930,5.95
1931,9.0
1932,4.25
1933,23.5
1934,6.35
1935,3.4
1936,93.0
1937,21.6
1938,4.0
1939,5.5
1940,19.25
1941,3.95
1942,4.25
1943,17.02
1944,6.5
1945,2.95
1946,7.12
1947,11.25
1948,2.75
1949,12.0
1950,3.67
1951,2.3
1952,2.2
1953,41.0
1954,28.5
1955,5.49
1956,17.5
1957,1.99
1958,6.64
1959,16.5
1960,5.0
1961,5.4
1962,2.99
1963,4.1
1964,6.76
1965,5.5
1966,5.99
1967,2.59
1968,26.75
1969,8.5
1970,23.0
1971,3.35
1972,10.75
1973,6.29
1974,7.75
1975,13.5
1976,3.75
1977,3.75
1978,1.5
1979,1.45
1980,4.12
1981,17.11
1982,10.25
1983,2.49
1984,3.85
1985,6.25
1986,4.88
1987,9.45
1988,4.8
1989,1.99
1990,2.8
1991,22.0
1992,4.3
1993,9.75
1994,5.9
1995,14.5
1996,2.4
1997,2.11
1998,7.6
1999,3.6
2000,6.0
2001,7.45
2002,2.1
2003,5.2
2004,6.36
2005,11.62
2006,43.6
2007,4.9
2008,6.7
2009,3.05
2010,25.0
2011,19.05
2012,4.5
2013,4.15
2014,11.9
2015,2.1
2016,6.95
2017,2.4
2018,2.65
2019,9.0
2020,2.1
2021,2.5
2022,8.95
2023,34.0
2024,4.0
2025,4.45
2026,1.5
2027,14.5
2028,8.41
2029,5.45
2030,8.9
2031,3.65
2032,29.0
2033,13.5
2034,5.4
2035,5.89
2036,8.45
2037,4.0
2038,45.0
2039,3.94
2040,8.0
2041,4.1
2042,6.25
2043,5.25
2044,83.96
2045,21.0
2046,4.3
2047,5.25
2048,32.0
2049,3.9
2050,2.2
2051,3.7
2052,11.27
2053,2.41
2054,19.0
2055,5.8
2056,13.52
2057,24.5
2058,3.25
2059,56.73
2060,9.95
2061,5.5
2062,25.0
2063,1.0
2064,2.15
2065,7.89
2066,10.25
2067,6.0
2068,7.53
2069,39.45
2070,5.84
2071,8.65
2072,7.74
2073,2.5
2074,5.7
2075,5.8
2076,36.5
2077,9.5
2078,4.55
2079,3.9
2080,2.7
2081,31.0
2082,10.3
2083,7.75
2084,3.2
2085,4.85
2086,34.08
2087,8.1
2088,2.35
2089,1.8
2090,3.42
2091,5.34
2092,31.99
2093,4.75
2094,6.1
2095,3.69
2096,15.0
2097,14.5
2098,5.65
2099,2.5
2100,38.5
2101,5.49
2102,3.55
2103,10.75
2104,11.0
2105,4.5
2106,8.42
2107,11.6
2108,33.63
2109,2.25
2110,12.95
2111,25.02
2112,3.95
2113,4.4
2114,4.95
2115,5.5
2116,3.25
2117,4.02
2118,11.73
2119,9.5
2120,8.6
2121,4.0
2122,5.55
2123,2.5
2124,41.6
2125,7.41
2126,6.5
2127,1.2
2128,23.0
2129,2.74
2130,3.9
2131,8.0
2132,4.0
2133,17.75
2134,5.05
2135,12.0
2136,29.6
2137,6.5
2138,4.75
2139,24.36
2140,3.2
